created_at,created_at_stamp,favorite_count,is_retweet,name,retweet_count,screen_name,text,tweet_id,tweet_url,utc_offset
Wed May 31 18:58:46 +0000 2017,2017-05-31 18:58:46,12,0,The Guardian,6,guardian,Tokyo 42 review: the slick assassination puzzle that's cripplingly difficult https://t.co/S72faPbwXD,869991561496547328,https://twitter.com/guardian/status/869991561496547328,3600
Wed May 31 18:58:39 +0000 2017,2017-05-31 18:58:39,0,1,The Times of London,10,thetimes,RT @patrick_kidd: Rudd is so much better than May. I can see why the PM ducked this. Corbyn is having fun and throwing punches but Rudd is…,869991533532954624,https://twitter.com/thetimes/status/869991533532954624,3600
Wed May 31 18:58:08 +0000 2017,2017-05-31 18:58:08,19,0,The Telegraph,34,Telegraph,"An 11-year-old from West Java, Indonesia has undergone surgery to save his life after his weight rose to 192kg, or… https://t.co/SUOzRGlmdI",869991400477249536,https://twitter.com/Telegraph/status/869991400477249536,3600
Wed May 31 18:58:05 +0000 2017,2017-05-31 18:58:05,20,0,Wall Street Journal,16,WSJ,Opinion: Why do taxpayers pay for a union president’s pension? from @JarrettSkorup and Alex Cortes https://t.co/woOrUMQVOz,869991389328662528,https://twitter.com/WSJ/status/869991389328662528,-14400
Wed May 31 18:57:39 +0000 2017,2017-05-31 18:57:39,0,1,USA TODAY,27,USATODAY,"RT @gregorykorte: Spicer will no longer answer Russia/Comey questions. ""Going forward all questions on this matter will be referred to outs…",869991278620151812,https://twitter.com/USATODAY/status/869991278620151812,-14400
Wed May 31 18:57:08 +0000 2017,2017-05-31 18:57:08,58,0,CNN,29,CNN,Sean Spicer conducts the White House press briefing. Watch coverage on CNN and @CNNgo: https://t.co/UYpqI3esEb https://t.co/qGJYqu8cBc,869991149515059200,https://twitter.com/CNN/status/869991149515059200,-14400
Wed May 31 18:56:59 +0000 2017,2017-05-31 18:56:59,0,1,The Guardian,199,guardian,RT @GdnPolitics: Jeremy Corbyn attacks Amber Rudd over Conservative austerity measures at the #BBCDebate https://t.co/a6tTGUwK8R https://t.…,869991111678283776,https://twitter.com/guardian/status/869991111678283776,3600
Wed May 31 18:56:17 +0000 2017,2017-05-31 18:56:17,69,0,ABC News,92,ABC,"If Pres. Trump pulls out of climate deal, U.S. will join only 2 other countries as nonparticipants: Syria, Nicaragu… https://t.co/L9nEvRnEoj",869990936394248192,https://twitter.com/ABC/status/869990936394248192,-14400
Wed May 31 18:56:06 +0000 2017,2017-05-31 18:56:06,23,0,Wall Street Journal,21,WSJ,"Court upholds conviction, life sentence for Silk Road operator Ross Ulbricht https://t.co/cao732OW4w",869990889871085568,https://twitter.com/WSJ/status/869990889871085568,-14400
Wed May 31 18:56:06 +0000 2017,2017-05-31 18:56:06,18,0,Wall Street Journal,14,WSJ,IMF calls for further measures to cool Canada’s housing market https://t.co/1rSW542sxj,869990890051223553,https://twitter.com/WSJ/status/869990890051223553,-14400
Wed May 31 18:56:00 +0000 2017,2017-05-31 18:56:00,16,0,The Independent,16,Independent,Majority of Americans support Paris climate deal Trump is expected to withdraw from https://t.co/GuKyP0trG7,869990866827587584,https://twitter.com/Independent/status/869990866827587584,3600
Wed May 31 18:55:58 +0000 2017,2017-05-31 18:55:58,92,0,BBC News (UK),57,BBCNews,"Conservative Amber Rudd says we have to concentrate resources as there's no ""magic money tree""… https://t.co/AkK2GfPkS4",869990854697435141,https://twitter.com/BBCNews/status/869990854697435141,3600
Wed May 31 18:55:41 +0000 2017,2017-05-31 18:55:41,84,0,Washington Post,38,washingtonpost,"How ""Wonder Woman"" director Patty Jenkins cracked the superhero-movie glass ceiling https://t.co/smta0Nds5Q",869990786082848768,https://twitter.com/washingtonpost/status/869990786082848768,-14400
Wed May 31 18:55:35 +0000 2017,2017-05-31 18:55:35,20,0,The Guardian,11,guardian,Can Wonder Woman save Hollywood from its problem with female superheroes? https://t.co/u8kY6xxb1d,869990760346562560,https://twitter.com/guardian/status/869990760346562560,3600
Wed May 31 18:55:26 +0000 2017,2017-05-31 18:55:26,20,0,Bloomberg,22,business,Markets need a 30% stock drop or 50% higher Treasury yields... or not https://t.co/HTIvzdpQzT https://t.co/duTo39zuSQ,869990722866257920,https://twitter.com/business/status/869990722866257920,-14400
